"Time","Cuisine"
2020-03-30 21:29:58,0
2020-03-30 21:29:59,0
2020-03-31 20:09:01,1
2020-03-31 22:09:32,0
2020-03-31 22:09:32,0
2020-04-01 19:50:27,1
2020-04-01 23:09:49,0
2020-04-01 23:09:49,0
2020-04-02 20:08:57,1
2020-04-02 20:52:06,0
2020-04-02 20:52:06,0
2020-04-03 20:26:17,0
2020-04-03 20:26:18,0
2020-04-03 20:34:33,0
2020-04-04 21:17:30,0
2020-04-04 21:17:30,0
2020-04-04 21:46:47,0
2020-04-05 06:45:48,1
2020-04-05 08:20:57,0
2020-04-05 08:20:57,0
2020-04-05 20:59:48,0
2020-04-05 20:59:48,0
2020-04-05 22:07:08,0
2020-04-07 21:36:20,0
2020-04-07 21:36:20,0
2020-04-07 21:40:02,0
2020-04-08 19:56:15,1
2020-04-08 21:08:08,0
2020-04-08 21:08:08,0
2020-04-09 20:57:51,0
2020-04-09 20:57:51,0
2020-04-09 21:04:35,0
2020-04-10 20:32:58,1
2020-04-10 22:19:50,0
2020-04-10 22:19:50,0
2020-04-11 21:41:22,0
2020-04-11 21:41:22,0
2020-04-11 21:45:05,0
2020-04-12 19:52:21,1
2020-04-12 21:31:15,0
2020-04-12 21:31:15,0
2020-04-13 21:37:34,0
2020-04-13 21:37:34,0
2020-04-13 21:47:07,0
2020-04-14 21:03:53,0
2020-04-14 21:03:53,0
2020-04-14 21:15:25,0
2020-04-16 21:50:58,0
2020-04-16 21:50:58,0
2020-04-16 21:53:54,0
2020-04-17 21:18:24,0
2020-04-17 21:18:24,0
2020-04-17 21:59:53,0
2020-04-18 05:39:45,1
2020-04-18 05:40:43,0
2020-04-18 05:40:43,0
2020-04-18 19:43:20,1
2020-04-18 21:18:58,0
2020-04-18 21:18:58,0
2020-04-19 20:08:49,1
2020-04-19 21:29:53,0
2020-04-19 21:29:53,0
2020-04-20 19:23:51,1
2020-04-20 20:56:02,0
2020-04-20 20:56:02,0
2020-04-21 20:32:42,1
2020-04-21 22:09:53,0
2020-04-21 22:09:53,0
2020-04-23 21:44:35,0
2020-04-23 21:44:35,0
2020-04-24 01:52:12,0
2020-04-24 19:56:06,1
2020-04-24 22:33:31,0
2020-04-24 22:33:31,0
2020-04-26 00:17:33,1
2020-04-26 00:19:10,0
2020-04-26 00:19:10,0
2020-04-26 21:21:02,0
2020-04-26 21:21:02,0
2020-04-26 21:36:59,0
2020-04-28 22:13:42,0
2020-04-28 22:13:42,0
2020-04-28 22:14:36,0
2020-04-30 21:43:27,0
2020-04-30 21:43:27,0
2020-04-30 21:48:06,0
2020-05-01 18:54:52,1
2020-05-01 21:42:32,0
2020-05-01 21:42:32,0
2020-05-02 21:26:49,0
2020-05-02 21:26:49,0
2020-05-02 22:58:58,0
2020-05-03 22:31:45,1
2020-05-03 22:32:04,0
2020-05-03 22:32:04,0
2020-05-04 20:18:42,1
2020-05-04 22:39:03,0
2020-05-04 22:39:03,0
2020-05-05 19:04:21,1
2020-05-05 21:20:18,0
2020-05-05 21:20:18,0
2020-05-06 21:05:49,1
2020-05-06 21:07:48,0
2020-05-06 21:07:48,0
2020-05-07 21:52:52,0
2020-05-07 21:52:52,0
2020-05-07 21:53:14,0
2020-05-08 20:34:22,1
2020-05-08 22:00:47,0
2020-05-08 22:00:47,0
2020-05-09 21:00:37,0
2020-05-09 21:00:37,0
2020-05-09 22:37:22,0
2020-05-10 20:54:54,1
2020-05-10 21:42:18,0
2020-05-10 21:42:18,0
2020-05-13 19:08:52,1
2020-05-13 21:44:52,0
2020-05-13 21:44:52,0
2020-05-15 04:17:32,1
2020-05-15 04:22:22,0
2020-05-15 04:22:22,0
2020-05-15 20:58:42,1
2020-05-15 21:00:42,0
2020-05-16 21:57:42,1
2020-05-16 21:58:08,0
2020-05-17 20:53:08,0
2020-05-17 21:43:48,0
2020-05-17 21:43:48,0
2020-05-19 22:11:57,1
2020-05-19 22:11:58,0
2020-05-19 22:11:58,0
2020-05-21 21:11:52,1
2020-05-21 21:12:34,0
2020-05-21 21:12:34,0
2020-05-22 21:10:35,0
2020-05-22 21:10:36,0
2020-05-22 22:38:39,0
2020-05-23 16:01:31,0
2020-05-23 16:01:31,0
2020-05-23 21:36:02,0
2020-05-25 21:41:46,1
2020-05-25 21:42:16,0
2020-05-25 21:42:16,0
2020-05-26 21:49:51,1
2020-05-26 21:49:52,0
2020-05-26 21:49:52,0
2020-05-27 23:24:48,0
2020-05-27 23:24:48,1
2020-05-27 23:24:48,0
2020-05-30 15:32:09,0
2020-05-30 15:32:09,0
2020-05-30 15:32:17,0
2020-05-31 21:32:37,1
2020-05-31 22:06:08,0
2020-05-31 22:06:08,0
2020-06-01 22:18:19,0
2020-06-01 22:18:19,0
2020-06-02 01:42:24,0
2020-06-02 21:06:26,1
2020-06-02 21:43:01,0
2020-06-02 21:43:02,0
2020-06-03 22:01:30,0
2020-06-03 22:01:30,0
2020-06-03 22:26:07,0
2020-06-04 09:01:02,1
2020-06-04 09:01:02,1
2020-06-04 15:02:42,0
2020-06-04 15:02:42,0
2020-06-04 22:11:31,0
2020-06-05 19:36:46,1
2020-06-05 22:09:24,0
2020-06-05 22:09:24,0
2020-06-06 18:46:21,1
2020-06-06 22:20:38,0
2020-06-06 22:20:38,0
2020-06-07 21:37:43,0
2020-06-07 21:37:43,0
2020-06-07 21:54:58,0
2020-06-08 22:16:45,0
2020-06-08 22:16:46,0
2020-06-08 22:18:06,0
2020-06-09 19:44:35,1
2020-06-09 22:04:14,0
2020-06-09 22:04:14,0
2020-06-12 21:00:05,1
2020-06-12 21:49:56,0
