"Time","Porte entrée"
2020-05-04 08:57:25,0
2020-05-04 14:10:20,0
2020-05-04 14:33:59,0
2020-05-04 14:33:59,0
2020-05-05 08:26:48,0
2020-05-05 08:26:48,0
2020-05-05 08:54:20,0
2020-05-05 16:04:38,0
2020-05-05 16:04:39,0
2020-05-05 17:49:54,0
2020-05-06 07:09:10,0
2020-05-06 07:09:11,0
2020-05-06 07:10:34,0
2020-05-06 14:28:34,0
2020-05-06 14:28:35,0
2020-05-06 14:34:17,0
2020-05-07 07:40:01,0
2020-05-07 07:40:01,0
2020-05-07 08:00:21,0
2020-05-07 14:14:28,0
2020-05-07 14:14:28,0
2020-05-07 14:35:03,0
2020-05-08 08:21:28,0
2020-05-08 08:21:28,0
2020-05-08 08:26:28,0
2020-05-08 14:36:11,0
2020-05-08 14:36:11,0
2020-05-08 15:08:42,0
2020-05-09 07:50:11,0
2020-05-09 07:50:11,0
2020-05-09 07:53:05,0
2020-05-09 14:21:18,0
2020-05-09 14:21:21,0
2020-05-09 14:21:22,0
2020-05-10 07:58:50,0
2020-05-10 07:58:50,0
2020-05-10 08:00:35,0
2020-05-10 15:46:56,0
2020-05-10 15:46:56,0
2020-05-10 17:23:25,0
2020-05-11 08:58:51,0
2020-05-11 09:12:44,0
2020-05-11 09:12:44,0
2020-05-11 14:27:49,0
2020-05-11 14:27:49,0
2020-05-11 15:34:48,0
2020-05-12 07:15:37,0
2020-05-12 07:15:37,0
2020-05-12 08:02:16,0
2020-05-12 14:29:41,0
2020-05-12 14:29:41,0
2020-05-12 14:32:35,0
2020-05-13 07:56:14,0
2020-05-13 07:56:14,0
2020-05-13 07:59:29,0
2020-05-13 14:49:17,0
2020-05-13 14:49:17,0
2020-05-13 19:08:38,0
2020-05-14 09:30:40,0
2020-05-14 09:30:40,0
2020-05-14 09:32:32,0
2020-05-14 15:04:52,0
2020-05-14 15:04:52,0
2020-05-14 15:05:52,0
2020-05-15 09:23:38,0
2020-05-15 09:23:38,0
2020-05-15 09:53:50,0
2020-05-15 15:14:16,0
2020-05-15 15:15:35,0
2020-05-15 15:27:03,0
2020-05-16 03:41:09,0
