"Time","Présence Flamme"
2020-09-18 05:13:45,0
2020-09-18 12:47:13,0
2020-09-18 22:01:47,1
2020-09-18 22:15:47,0
2020-09-18 22:15:48,0
2020-09-19 18:00:00,1
2020-09-19 18:10:00,0
2020-09-19 18:10:00,0
2020-09-20 06:12:44,0
2020-09-20 06:12:44,0
2020-09-20 13:58:13,0
2020-09-20 20:41:38,1
2020-09-20 20:49:38,0
2020-09-20 20:49:38,0
2020-09-21 08:37:21,1
2020-09-21 08:46:22,0
2020-09-21 08:46:22,0
2020-09-21 18:25:57,1
2020-09-21 18:33:57,0
2020-09-21 18:33:57,0
2020-09-22 05:12:36,0
2020-09-22 05:12:36,0
2020-09-22 12:01:01,0
2020-09-23 05:14:04,0
2020-09-23 05:14:04,0
2020-09-23 13:22:34,0
2020-09-23 17:32:50,1
2020-09-23 17:39:50,0
2020-09-23 17:39:50,0
2020-09-24 05:13:32,0
2020-09-24 05:13:32,0
2020-09-24 12:48:00,0
2020-09-24 20:44:29,1
2020-09-24 20:53:30,0
2020-09-24 20:53:30,0
2020-09-25 08:12:11,1
2020-09-25 08:21:12,0
2020-09-25 08:21:12,0
2020-09-25 18:30:49,0
2020-09-25 18:30:49,0
2020-09-25 18:35:49,0
2020-09-26 08:57:41,0
2020-09-26 08:57:41,0
2020-09-26 10:57:49,0
2020-09-26 18:07:15,1
2020-09-26 18:16:15,0
2020-09-26 18:16:15,0
2020-09-27 06:12:58,0
2020-09-27 06:12:58,0
2020-09-27 12:34:22,0
2020-09-27 17:22:40,0
2020-09-27 17:22:40,0
2020-09-27 17:38:41,0
2020-09-28 02:03:10,0
2020-09-28 02:03:10,0
2020-09-28 02:11:10,0
2020-09-28 14:38:57,0
2020-09-28 14:38:57,0
2020-09-28 15:22:00,0
2020-09-29 03:43:46,0
2020-09-29 03:43:46,0
2020-09-29 03:52:46,0
2020-09-29 14:01:24,0
2020-09-29 14:01:24,0
2020-09-29 14:43:26,0
2020-09-30 05:02:19,1
2020-09-30 05:15:20,0
2020-09-30 05:15:20,0
2020-09-30 15:33:58,0
2020-09-30 15:33:58,0
2020-09-30 18:35:09,0
2020-10-01 05:12:49,0
2020-10-01 05:12:49,0
2020-10-01 06:33:54,0
2020-10-01 16:49:32,1
2020-10-01 16:58:32,0
2020-10-01 16:58:32,0
2020-10-02 05:14:17,0
2020-10-02 05:14:17,0
2020-10-02 12:42:44,0
2020-10-02 21:02:14,0
2020-10-02 21:02:15,0
2020-10-02 22:12:19,0
2020-10-03 09:36:00,0
2020-10-03 09:36:00,0
2020-10-03 13:08:14,0
2020-10-03 17:42:31,1
2020-10-03 17:51:31,0
2020-10-03 17:51:31,0
2020-10-04 06:17:17,0
2020-10-04 06:17:17,0
2020-10-04 10:42:33,0
2020-10-04 18:02:00,0
2020-10-04 18:02:00,0
2020-10-04 21:38:13,0
2020-10-05 07:15:48,0
2020-10-05 07:15:48,0
2020-10-05 11:49:05,0
2020-10-05 14:02:13,0
2020-10-05 14:02:13,0
2020-10-05 14:44:16,0
2020-10-06 02:05:58,0
2020-10-06 02:05:58,0
2020-10-06 02:14:58,0
2020-10-06 15:07:44,1
2020-10-06 15:16:44,0
2020-10-06 15:16:44,0
2020-10-07 05:15:35,0
2020-10-07 05:15:35,0
2020-10-07 10:26:54,0
2020-10-07 17:20:20,0
2020-10-07 17:20:20,0
2020-10-07 20:26:31,0
2020-10-08 06:45:08,0
2020-10-08 06:45:09,0
2020-10-08 07:51:13,0
2020-10-08 16:42:44,1
2020-10-08 16:49:45,0
2020-10-08 16:49:45,0
2020-10-09 05:15:30,0
2020-10-09 05:15:30,0
2020-10-09 10:10:48,0
2020-10-09 22:02:31,1
2020-10-09 22:16:32,0
2020-10-09 22:16:32,0
2020-10-10 04:50:56,0
2020-10-10 04:50:56,0
2020-10-10 05:17:57,0
2020-10-10 18:38:47,1
2020-10-10 18:47:47,0
2020-10-10 18:47:47,0
2020-10-11 06:12:29,0
2020-10-11 06:12:29,0
2020-10-11 07:35:35,0
2020-10-11 18:14:13,0
2020-10-11 18:14:14,0
2020-10-11 20:54:23,0
2020-10-12 05:00:53,0
2020-10-12 05:00:53,0
2020-10-12 05:11:53,0
2020-10-12 18:49:43,0
2020-10-12 18:49:43,0
2020-10-12 21:57:54,0
2020-10-13 02:11:10,0
2020-10-13 02:11:10,0
2020-10-13 02:24:11,0
2020-10-13 21:02:19,0
2020-10-13 21:02:19,0
2020-10-13 21:27:19,0
2020-10-14 02:06:36,0
2020-10-14 02:06:36,0
2020-10-14 02:20:37,0
2020-10-14 14:30:23,0
2020-10-14 14:30:23,0
2020-10-14 15:13:25,0
2020-10-15 02:01:05,0
2020-10-15 02:01:05,0
2020-10-15 02:17:06,0
2020-10-15 14:10:49,0
2020-10-15 14:10:49,0
2020-10-15 14:52:52,0
2020-10-16 02:05:34,0
2020-10-16 02:05:34,0
2020-10-16 02:16:34,0
2020-10-16 19:31:38,0
2020-10-16 19:31:38,0
2020-10-16 22:11:48,0
2020-10-17 02:01:02,0
2020-10-17 02:01:02,0
2020-10-17 02:14:02,0
2020-10-17 17:41:58,0
2020-10-17 17:41:58,0
2020-10-18 00:14:22,0
2020-10-18 02:02:29,0
2020-10-18 02:02:29,0
2020-10-18 02:15:29,0
2020-10-18 16:46:22,0
2020-10-18 16:46:22,0
2020-10-18 19:04:30,0
2020-10-19 03:34:02,0
2020-10-19 03:34:02,0
2020-10-19 03:46:02,0
2020-10-19 14:10:40,0
2020-10-19 14:10:40,0
2020-10-19 14:53:43,0
2020-10-20 02:01:24,0
2020-10-20 02:01:24,0
2020-10-20 02:20:25,0
2020-10-20 16:54:19,1
2020-10-20 17:02:20,0
2020-10-20 17:02:20,0
2020-10-21 05:12:05,0
2020-10-21 05:12:05,0
2020-10-21 09:32:21,0
2020-10-21 18:21:54,1
2020-10-21 18:29:54,0
2020-10-21 18:29:54,0
2020-10-22 05:02:32,1
2020-10-22 05:11:33,0
2020-10-22 05:11:33,0
2020-10-22 15:28:10,1
2020-10-22 15:37:11,0
2020-10-22 15:37:11,0
2020-10-23 05:14:00,0
2020-10-23 05:14:00,0
2020-10-23 09:44:17,0
2020-10-23 17:10:44,1
2020-10-23 17:21:45,0
2020-10-23 22:17:03,0
2020-10-24 11:22:51,1
2020-10-24 11:30:52,0
2020-10-24 20:50:26,1
2020-10-24 20:58:26,0
2020-10-25 06:02:03,1
2020-10-25 06:12:04,0
2020-10-25 15:57:40,1
2020-10-25 16:06:40,0
2020-10-25 18:28:49,0
2020-10-26 21:02:05,0
2020-10-26 21:02:05,0
2020-10-26 23:42:16,0
2020-10-27 01:10:21,0
2020-10-27 01:10:21,0
2020-10-27 01:20:21,0
2020-10-27 19:37:28,0
2020-10-27 19:37:28,0
2020-10-28 00:12:44,0
2020-10-28 01:04:48,0
2020-10-28 01:04:48,0
2020-10-28 01:17:48,0
2020-10-28 17:37:48,1
2020-10-28 17:46:48,0
2020-10-28 17:46:48,0
2020-10-29 02:56:22,0
2020-10-29 02:56:22,0
2020-10-29 03:08:23,0
2020-10-29 19:22:23,1
2020-10-29 19:30:24,0
2020-10-29 19:30:24,0
2020-10-30 03:08:52,0
2020-10-30 03:08:52,0
2020-10-30 03:20:53,0
2020-10-30 22:02:01,1
2020-10-30 22:17:02,0
2020-10-30 22:17:02,0
2020-10-31 02:07:16,0
2020-10-31 02:07:16,0
2020-10-31 02:24:17,0
2020-10-31 18:32:17,1
2020-10-31 18:41:17,0
2020-10-31 18:41:17,0
2020-11-01 01:05:41,0
2020-11-01 01:05:41,0
2020-11-01 01:26:42,0
2020-11-01 17:27:41,0
2020-11-01 17:27:41,0
2020-11-01 17:51:42,0
2020-11-02 04:30:22,0
2020-11-02 04:30:22,0
2020-11-02 04:42:22,0
2020-11-02 18:20:13,0
2020-11-02 18:20:13,0
2020-11-02 21:02:23,0
2020-11-03 06:11:56,1
2020-11-03 06:19:57,0
2020-11-03 06:19:57,0
2020-11-03 16:07:33,1
2020-11-03 16:17:34,0
2020-11-03 16:17:34,0
2020-11-04 06:36:16,0
2020-11-04 06:36:16,0
2020-11-04 07:17:18,0
2020-11-04 16:25:54,1
2020-11-04 16:35:55,0
2020-11-04 16:35:55,0
2020-11-05 01:48:29,0
2020-11-05 01:48:29,0
2020-11-05 02:15:30,0
2020-11-05 17:30:27,0
2020-11-05 17:30:27,0
2020-11-05 20:58:39,0
2020-11-06 01:25:56,0
2020-11-06 01:25:56,0
2020-11-06 01:35:56,0
2020-11-06 22:02:07,1
2020-11-06 22:17:08,0
2020-11-06 22:17:08,0
2020-11-07 02:32:24,0
2020-11-07 02:32:24,0
2020-11-07 02:45:25,0
2020-11-07 19:14:58,0
2020-11-07 19:14:58,0
