"Time","Aujourd'hui","Moyenne minute","Moyenne Heure"
2020-07-12 14:00:00,3022,201,203
2020-07-13 02:00:00,1327,189,179
2020-07-13 14:00:00,3795,337,331
2020-07-14 02:00:00,1925,281,277
2020-07-14 14:00:00,4571,351,352
2020-07-15 02:00:00,1800,275,262
2020-07-15 14:00:00,5388,642,643
2020-07-16 02:00:00,1537,241,215
2020-07-16 14:00:00,4403,303,328
2020-07-17 02:00:00,1653,286,252
2020-07-17 14:00:00,4997,340,372
2020-07-18 02:00:00,2049,355,344
2020-07-18 14:00:00,4922,250,258
2020-07-19 02:00:00,1779,338,305
2020-07-19 14:00:00,5683,373,400
2020-07-20 02:00:00,1890,305,299
2020-07-20 14:00:00,4943,397,401
2020-07-21 02:00:00,1912,308,298
2020-07-21 14:00:00,4582,270,272
2020-07-22 02:00:00,1785,288,244
2020-07-22 14:00:00,4980,323,368
2020-07-23 02:00:00,2049,412,411
2020-07-23 14:00:00,7197,552,548
2020-07-24 02:00:00,3457,545,444073
2020-07-24 14:00:00,7490,417,433
2020-07-25 02:00:00,714,187,215
2020-07-25 14:00:00,0,0,0
2020-07-26 02:00:00,0,0,0
2020-07-26 14:00:00,0,0,0
2020-07-27 02:00:00,,,
2020-07-27 14:00:00,,,
2020-07-28 02:00:00,,,
2020-07-28 14:00:00,,,
2020-07-29 02:00:00,,,
2020-07-29 14:00:00,,,
2020-07-30 02:00:00,,,
2020-07-30 14:00:00,,,
2020-07-31 02:00:00,,,
2020-07-31 14:00:00,,,
2020-08-01 02:00:00,,,
2020-08-01 14:00:00,705,4409798,1226392
2020-08-02 02:00:00,2044,267,173081
2020-08-02 14:00:00,4679,440,396
2020-08-03 02:00:00,2584,574,520
2020-08-03 14:00:00,8367,437,479
2020-08-04 02:00:00,2727,619,601
2020-08-04 14:00:00,7994,310,315
2020-08-05 02:00:00,2061,305,299
2020-08-05 14:00:00,4407,255,252
2020-08-06 02:00:00,2202,292,288
2020-08-06 14:00:00,4530,232,241
2020-08-07 02:00:00,1346,191,182
2020-08-07 14:00:00,3105,239,238
2020-08-08 02:00:00,2078,283,277
2020-08-08 14:00:00,4406,232,242
2020-08-09 02:00:00,1344,192,185
2020-08-09 14:00:00,3476,309,304
2020-08-10 02:00:00,2046,466,395
2020-08-10 14:00:00,6900,404,454
2020-08-11 02:00:00,2260,524,475
2020-08-11 14:00:00,7181,424,468
2020-08-12 02:00:00,2061,403,375
2020-08-12 14:00:00,5969,413,432
2020-08-13 02:00:00,1980,340,329
2020-08-13 14:00:00,5063,295,308
2020-08-14 02:00:00,2220,418,409
2020-08-14 14:00:00,6038,368,381
2020-08-15 02:00:00,1955,355,344
2020-08-15 14:00:00,5263,367,379
2020-08-16 02:00:00,1976,246,234
2020-08-16 14:00:00,4910,394,397
2020-08-17 02:00:00,2034,402,336
2020-08-17 14:00:00,5564,272,334
2020-08-18 02:00:00,2360,446,409
2020-08-18 14:00:00,6357,409,425
2020-08-19 02:00:00,2432,239,251
2020-08-19 14:00:00,4671,290,292
2020-08-20 02:00:00,1672,234,232
2020-08-20 14:00:00,4568,585,581
2020-08-21 02:00:00,3300,586,621613
2020-08-21 14:00:00,6978,455,435
2020-08-22 02:00:00,3251,416,449
2020-08-22 14:00:00,7552,471,489
2020-08-23 02:00:00,1605,243,230
2020-08-23 14:00:00,5539,639,721
2020-08-24 02:00:00,2379,622,529
2020-08-24 14:00:00,7714,280,363
2020-08-25 02:00:00,2259,418,410
2020-08-25 14:00:00,6663,108,471
2020-08-26 02:00:00,2717,206,322
2020-08-26 14:00:00,5692,335,346
2020-08-27 02:00:00,2807,483,471
2020-08-27 14:00:00,6771,322,341
2020-08-28 02:00:00,2112,485,443
2020-08-28 14:00:00,7845,463,490
2020-08-29 02:00:00,2306,449,434
2020-08-29 14:00:00,6287,329,333
2020-08-30 02:00:00,2202,577,457
2020-08-30 14:00:00,8167,522,635
2020-08-31 02:00:00,2147,344,330
2020-08-31 14:00:00,5558,373,384
2020-09-01 02:00:00,3145,611,550
2020-09-01 14:00:00,7945,349,366
2020-09-02 02:00:00,2299,439,435
2020-09-02 14:00:00,5981,479,385
2020-09-03 02:00:00,1914,305,300
2020-09-03 14:00:00,4940,397,402
2020-09-04 02:00:00,2611,483,429
2020-09-04 14:00:00,5899,259,265
2020-09-05 02:00:00,2446,501,481
2020-09-05 14:00:00,6768,325,331
2020-09-06 02:00:00,3004,583,570
2020-09-06 14:00:00,7691,365,371
2020-09-07 02:00:00,1694,245,238
2020-09-07 14:00:00,4273,292,307
2020-09-08 02:00:00,2149,356,345
2020-09-08 14:00:00,5644,375,378
2020-09-09 02:00:00,2136,363,353
2020-09-09 14:00:00,6051,397,391
2020-09-10 02:00:00,1936,465,354
2020-09-10 14:00:00,6871,372,473
2020-09-11 02:00:00,1505,210,572380
2020-09-11 14:00:00,4264,436,434
2020-09-12 02:00:00,2350,444,439
2020-09-12 14:00:00,6335,394,397
2020-09-13 02:00:00,1917,319,314
2020-09-13 14:00:00,5017,325,328
2020-09-14 02:00:00,2159,331,334
2020-09-14 14:00:00,5665,635,518
