"Time","Fenêtre Evier"
2020-03-29 15:59:10,0
2020-04-01 14:19:19,1
2020-04-01 17:25:49,0
2020-04-01 17:25:49,0
2020-04-02 16:06:19,0
2020-04-02 16:06:19,0
2020-04-02 16:11:36,0
2020-04-03 12:09:21,1
2020-04-03 12:12:52,0
2020-04-03 12:12:52,0
2020-04-03 14:11:48,0
2020-04-03 14:11:48,0
2020-04-03 18:04:02,0
2020-04-04 08:45:04,0
2020-04-04 08:45:04,0
2020-04-04 11:23:01,0
2020-04-04 15:58:07,1
2020-04-04 15:58:12,0
2020-04-04 15:58:12,0
2020-04-05 10:53:07,1
2020-04-05 10:53:15,0
2020-04-05 10:53:15,0
2020-04-05 14:41:54,1
2020-04-05 19:10:12,0
2020-04-05 19:10:12,0
2020-04-06 12:32:34,1
2020-04-06 12:32:35,1
2020-04-06 18:55:46,0
2020-04-06 18:55:46,0
2020-04-07 15:33:35,1
2020-04-07 15:33:43,0
2020-04-07 15:33:43,0
2020-04-08 18:45:57,0
2020-04-08 18:45:57,0
2020-04-08 20:01:20,0
2020-04-09 08:14:45,0
2020-04-09 08:14:45,0
2020-04-09 11:25:15,0
2020-04-09 15:47:36,1
2020-04-09 18:44:57,0
2020-04-09 18:44:57,0
2020-04-10 17:31:59,0
2020-04-10 17:31:59,0
2020-04-10 19:18:51,0
2020-04-11 18:17:25,1
2020-04-11 18:17:28,0
2020-04-11 18:17:28,0
2020-04-12 13:07:56,1
2020-04-12 13:07:56,1
2020-04-12 14:09:52,0
2020-04-12 14:09:52,0
2020-04-12 18:19:13,0
2020-04-13 11:54:36,0
2020-04-13 11:54:36,0
2020-04-13 11:56:38,0
2020-04-13 17:33:55,0
2020-04-13 17:33:56,0
2020-04-13 17:33:59,0
2020-04-14 12:51:09,0
2020-04-14 12:51:09,0
2020-04-14 13:27:49,0
2020-04-14 15:01:06,0
2020-04-14 15:01:06,0
2020-04-14 17:42:46,0
2020-04-16 11:47:23,1
2020-04-16 11:47:25,0
2020-04-16 11:47:26,0
2020-04-17 12:35:55,1
2020-04-17 12:35:58,0
2020-04-17 12:35:58,0
2020-04-17 18:08:46,0
2020-04-17 18:08:46,0
2020-04-17 18:08:52,0
2020-04-18 07:51:07,1
2020-04-18 07:51:09,0
2020-04-18 07:51:09,0
2020-04-18 14:37:23,1
2020-04-18 14:37:25,0
2020-04-18 14:37:26,0
2020-04-19 13:30:05,1
2020-04-19 13:30:05,1
2020-04-19 14:28:57,0
2020-04-19 14:28:57,0
2020-04-19 15:10:02,0
2020-04-20 11:22:47,1
2020-04-20 11:40:08,0
2020-04-20 11:40:08,0
2020-04-20 14:30:09,0
2020-04-20 14:30:09,0
2020-04-20 14:32:34,0
2020-04-21 15:40:29,0
2020-04-21 15:40:29,0
2020-04-21 18:56:32,0
2020-04-22 08:53:55,1
2020-04-22 08:53:55,1
2020-04-22 20:54:26,0
2020-04-22 20:54:26,0
2020-04-23 16:05:13,0
2020-04-23 16:05:13,0
2020-04-23 16:24:22,0
2020-04-24 10:10:05,0
2020-04-24 10:10:05,0
2020-04-24 11:15:34,0
2020-04-24 14:46:32,0
2020-04-24 14:46:32,0
2020-04-24 15:46:54,0
2020-04-25 16:30:51,1
2020-04-25 16:31:05,0
2020-04-25 16:31:05,0
2020-04-26 18:50:41,0
2020-04-26 18:50:41,0
2020-04-26 19:05:08,0
2020-04-28 11:23:07,1
2020-04-28 12:04:43,0
2020-04-28 12:04:43,0
2020-04-28 17:44:14,1
2020-04-28 18:41:31,0
2020-04-28 18:41:31,0
2020-04-29 14:28:46,1
2020-04-29 17:25:32,0
2020-04-29 17:25:33,0
2020-04-30 18:40:09,1
2020-04-30 18:40:13,0
2020-04-30 18:40:13,0
2020-05-04 10:27:10,0
2020-05-04 10:27:10,0
2020-05-04 10:29:25,0
2020-05-05 09:36:14,1
2020-05-05 09:59:24,0
