"Time","Production chauffage"
2020-12-06 11:02:24,0
2020-12-06 11:16:25,0
2020-12-06 19:54:58,1
2020-12-06 19:54:58,1
2020-12-06 21:15:03,0
2020-12-06 21:15:03,0
2020-12-06 22:10:06,0
2020-12-06 23:28:11,0
2020-12-06 23:28:11,0
2020-12-06 23:51:13,0
2020-12-07 01:04:17,0
2020-12-07 01:04:17,0
2020-12-07 01:21:18,0
2020-12-07 03:06:25,0
2020-12-07 03:06:25,0
2020-12-07 03:29:26,0
2020-12-07 05:50:35,0
2020-12-07 05:50:35,0
2020-12-07 06:17:36,0
2020-12-07 07:25:41,0
2020-12-07 07:25:41,0
2020-12-07 07:41:42,0
2020-12-07 09:21:48,0
2020-12-07 09:21:48,0
2020-12-07 09:40:49,0
2020-12-07 11:05:54,0
2020-12-07 11:05:54,0
2020-12-07 11:18:55,0
2020-12-07 17:19:17,0
2020-12-07 17:19:17,0
2020-12-07 17:28:17,0
2020-12-07 22:01:34,1
2020-12-07 22:01:34,1
2020-12-08 00:31:43,0
2020-12-08 00:31:43,0
2020-12-08 00:36:43,1
2020-12-08 01:17:45,0
2020-12-08 01:17:45,0
2020-12-08 01:38:46,0
2020-12-08 03:02:51,0
2020-12-08 03:02:51,0
2020-12-08 03:21:52,0
2020-12-08 05:01:59,0
2020-12-08 05:01:59,0
2020-12-08 05:58:02,0
2020-12-08 07:17:07,0
2020-12-08 07:17:07,0
2020-12-08 08:58:13,0
2020-12-08 09:26:15,0
2020-12-08 09:26:15,0
2020-12-08 09:32:15,0
2020-12-08 20:09:54,1
2020-12-08 20:09:54,1
2020-12-08 22:37:03,0
2020-12-08 22:37:03,0
2020-12-08 22:42:04,1
2020-12-08 23:07:05,0
2020-12-08 23:07:05,0
2020-12-09 00:02:09,0
2020-12-09 01:03:12,0
2020-12-09 01:03:12,0
2020-12-09 01:16:13,0
2020-12-09 03:12:20,0
2020-12-09 03:12:21,0
2020-12-09 03:24:21,0
2020-12-09 05:02:27,0
2020-12-09 05:02:27,0
2020-12-09 05:46:30,0
2020-12-09 07:05:34,0
2020-12-09 07:05:34,0
2020-12-09 07:18:35,0
2020-12-09 09:02:41,0
2020-12-09 09:02:41,0
2020-12-09 09:11:42,0
2020-12-09 11:03:49,0
2020-12-09 11:03:49,0
2020-12-09 11:17:50,0
2020-12-09 16:56:10,1
2020-12-09 16:56:10,1
2020-12-09 17:04:10,0
2020-12-09 17:04:10,0
2020-12-09 18:42:16,0
2020-12-09 19:01:17,0
2020-12-09 19:01:18,0
2020-12-09 19:11:18,0
2020-12-09 21:03:25,0
2020-12-09 21:03:25,0
2020-12-09 21:17:26,0
2020-12-09 23:45:35,0
2020-12-09 23:45:35,0
2020-12-09 23:50:35,1
2020-12-10 01:25:41,0
2020-12-10 01:25:41,0
2020-12-10 01:30:41,1
2020-12-10 04:19:51,0
2020-12-10 04:19:51,0
2020-12-10 04:24:51,1
2020-12-10 06:13:58,0
2020-12-10 06:13:58,0
2020-12-10 06:39:00,0
2020-12-10 07:07:01,0
2020-12-10 07:07:01,0
2020-12-10 08:22:06,0
2020-12-10 09:44:11,0
2020-12-10 09:44:11,0
2020-12-10 09:55:12,0
2020-12-10 11:25:17,0
2020-12-10 11:25:17,0
2020-12-10 11:37:18,0
