"Time","Télévision","Freebox","Homeciné","Robot Aspirateur","FreeBox TV","Kodi","Multimédia","Four","Garage","Plaques cuisson","Lave vaisselle","Lave linge","PZEM Général Puissance"
2020-04-25 02:00:00,4.5,22,3.5,7.9,20,3,14,0,133,0,,,
2020-04-25 14:00:00,1.8,32,0.40,2.7,0.50,4.5,12,,0,0,229,,
2020-04-26 02:00:00,3.7,24,0.80,8.1,18,3.2,13,,63,0,,62,
2020-04-26 14:00:00,4.6,17,0.80,2.7,11,4.3,13,0,10,0,,,
2020-04-27 02:00:00,90,23,0.80,12,18,3,12,,14,0,60,0,
2020-04-27 14:00:00,3,35,0.80,2.7,18,3.2,12,1573,10,356,0,,
2020-04-28 02:00:00,50,24,0.40,4.4,20,3.2,14,,849,0,,193,
2020-04-28 14:00:00,1.8,20,0.80,2.7,14,3.9,12,,10,,,0,
2020-04-29 02:00:00,2.2,48,0.40,3,33,3,12,,21,579,,0,
2020-04-29 14:00:00,5.1,15,0.80,2.7,17,3.2,12,,0,0,25,,
2020-04-30 02:00:00,73,17,2.9,4.8,38,3,13,,62,793,,,
2020-04-30 14:00:00,92,20,0.40,2.7,19,3.9,9.1,,53,0,32,,
2020-05-01 02:00:00,95,24,0.40,2.9,20,0.80,10,,22,784,,,
2020-05-01 14:00:00,93,17,0.80,2.7,11,0.80,12,,0,322,32,,
2020-05-02 02:00:00,94,21,0.80,25,21,0.80,11,1510,22,0,,0,
2020-05-02 14:00:00,92,29,0.80,2.7,15,0.80,10,,0,0,25,0,
2020-05-03 02:00:00,95,23,0.80,6.5,20,0.80,11,,22,0,,,
2020-05-03 14:00:00,94,22,5.5,0.40,18,0.80,10,,0,,,,
2020-05-04 02:00:00,95,34,0.80,2.7,18,0.80,53,1590,65,,32,0,
2020-05-04 14:00:00,0,11,0.40,2.7,11,0.80,11,,0,897,,,
2020-05-05 02:00:00,0,22,5.6,2.9,15,0.80,14,,37,0,231,,
2020-05-05 14:00:00,88,21,0.40,3,11,0.80,12,,24,1139,32,,
2020-05-06 02:00:00,86,19,5.6,6.4,21,0.80,15,,158,0,,0,
2020-05-06 14:00:00,94,43,0.40,2.7,12,0.80,12,0,0,0,234,,
2020-05-07 02:00:00,7.6,21,0.80,9.3,18,0.80,13,,747,0,,156,
2020-05-07 14:00:00,90,26,0.40,2.9,13,0.80,12,0,15,790,14,0,
2020-05-08 02:00:00,95,17,0.80,3,16,0.80,19,,2083,0,,0,
2020-05-08 14:00:00,0,15,0.40,3,13,0.80,14,,15,868,62,,
2020-05-09 02:00:00,91,21,0.40,7.3,20,0.80,11,,82,0,,,
2020-05-09 14:00:00,95,13,4.3,3,34,0.80,12,,16,0,,,
2020-05-10 02:00:00,91,44,4.8,9.1,17,0.80,11,0,128,0,59,,
2020-05-10 14:00:00,92,15,0.40,3,17,4.3,12,0,16,0,,,
2020-05-11 02:00:00,86,43,0.80,3.4,17,3.4,14,,65,0,222,,
2020-05-11 14:00:00,92,19,0.40,2.7,18,4.1,14,,15,0,31,,
2020-05-12 02:00:00,95,23,0.40,7,21,3,12,,22,795,,61,
2020-05-12 14:00:00,0,17,0.40,3,18,3.2,12,,14,1883,,0,
2020-05-13 02:00:00,96,20,0.80,2.9,20,3,18,,23,0,129,,
2020-05-13 14:00:00,0,20,0.80,4.5,23,4,12,,0,1892,,,
2020-05-14 02:00:00,95,25,0.40,3,19,3,14,,61,0,60,0,
2020-05-14 14:00:00,47,19,0.40,2.7,19,3.4,12,,0,0,,,
2020-05-15 02:00:00,95,22,0.40,36,19,3,12,,15,0,31,,
2020-05-15 14:00:00,0,19,0.40,2.7,12,3,15,,0,,,,
2020-05-16 02:00:00,85,20,1.3,2.9,17,,12,0,33,855,60,0,
2020-05-16 14:00:00,0,19,0.80,2.7,13,3,12,,0,0,48,,
2020-05-17 02:00:00,95,24,0.40,2.9,20,,12,,22,,,,
2020-05-17 14:00:00,2,35,0.40,2.9,13,3,12,,0,,,,
2020-05-18 02:00:00,95,18,0.40,2.9,0.60,3.9,13,,24,0,70,,
2020-05-18 14:00:00,93,23,0.40,2.9,16,3.7,12,,0,,95,,
2020-05-19 02:00:00,95,25,3.9,0,21,3,14,,22,0,,,
2020-05-19 14:00:00,91,15,0.40,3,13,3.2,12,,16,0,32,,
2020-05-20 02:00:00,93,23,4,1.6,28,5,12,0,23,0,,0,
2020-05-20 14:00:00,92,32,0.40,2.7,31,3.4,11,0,0,0,27,,
2020-05-21 02:00:00,39,24,0.40,6.3,21,3,12,,33,,,,
2020-05-21 14:00:00,94,21,0.80,2.7,16,4,11,,0,0,63,,
2020-05-22 02:00:00,95,25,0.40,3,20,3,12,,313,0,,0,
2020-05-22 14:00:00,95,12,0.80,2.7,28,3.4,14,,0,907,32,,
2020-05-23 02:00:00,29,46,0.40,2.9,19,3,14,,23,0,,41,
2020-05-23 14:00:00,0,21,0.40,2.9,11,3,15,1617,0,107,64,,
2020-05-24 02:00:00,0,36,0.50,2.9,17,3,15,,23,2293,,,
2020-05-24 14:00:00,91,16,0.40,3.4,18,3.2,14,,0,794,,,
2020-05-25 02:00:00,95,23,9.6,7.8,34,3,13,,311,,80,,
2020-05-25 14:00:00,89,28,0.80,2.7,12,3.9,12,,0,0,31,,
2020-05-26 02:00:00,43,24,5.4,4.9,18,3,11,0,79,,,0,
2020-05-26 14:00:00,97,24,0.40,2.5,15,3.2,12,,0,0,63,,
2020-05-27 02:00:00,95,39,4.3,3,16,3,14,,313,0,,51,
2020-05-27 14:00:00,94,45,0.80,5,18,4.5,12,,0,,63,,
2020-05-28 02:00:00,95,25,0.80,3,17,3,48,,30,0,,0,
2020-05-28 14:00:00,95,23,0.60,2.7,18,3,14,,0,0,236,,
2020-05-29 02:00:00,87,34,0.80,2.9,18,3,14,0,30,,,,
2020-05-29 14:00:00,94,15,0.40,4.5,18,3.9,14,0,0,908,203,,
2020-05-30 02:00:00,91,23,0.40,3,18,3,19,,530,904,,,
2020-05-30 14:00:00,95,19,0.40,6.9,11,3.2,12,,0,0,,,
2020-05-31 02:00:00,93,20,1.7,3.2,18,3,12,,65,,192,,
2020-05-31 14:00:00,0,23,0.40,2.9,12,3.9,12,,42,0,,,
2020-06-01 02:00:00,66,25,5.8,3.2,18,3,12,,70,0,,,
2020-06-01 14:00:00,2,18,0.40,2.9,16,4.4,13,,0,0,187,,
2020-06-02 02:00:00,95,23,0.40,6.5,18,3,13,,62,2301,,0,
2020-06-02 14:00:00,87,21,0.80,2.7,11,3.2,11,0,0,0,,,
2020-06-03 02:00:00,94,23,1.7,0,18,3,12,0,67,0,2166,0,
2020-06-03 14:00:00,91,31,0.40,2.7,33,4.1,12,,0,0,186,,
2020-06-04 02:00:00,94,21,0.40,3,18,3,16,,226,0,78,,
2020-06-04 14:00:00,91,21,0.80,2.7,15,3.2,12,0,0,900,25,,
2020-06-05 02:00:00,95,21,3.4,3.5,21,3,14,0,1729,,69,,
2020-06-05 14:00:00,82,16,0.40,2.7,15,3,12,,0,,31,,
2020-06-06 02:00:00,95,22,0.40,6,20,3,12,,64,,,,
2020-06-06 14:00:00,95,21,0.40,2.7,26,2.7,12,,14,0,0,0,
2020-06-07 02:00:00,95,22,1.7,7.1,17,0,13,,75,,,0,
2020-06-07 14:00:00,86,18,0.40,2.7,21,3.7,15,,48,,,,
2020-06-08 02:00:00,0,23,0.40,4.3,18,3,13,,168,386,80,0,
2020-06-08 14:00:00,93,23,0.40,7.9,18,3.2,12,,0,864,25,,
2020-06-09 02:00:00,94,40,0.40,3.7,39,3,16,,67,0,0,15,
2020-06-09 14:00:00,94,19,0.40,2.7,13,4,12,,49,,,,
2020-06-10 02:00:00,63,24,0.40,4.5,20,3,12,,111,0,61,0,
2020-06-10 14:00:00,94,15,0.40,2.7,13,3.2,15,0,50,0,,,
2020-06-11 02:00:00,95,23,0.80,3,20,3,13,1570,67,0,30,0,
2020-06-11 14:00:00,0,19,0.40,2.7,18,3,13,,0,0,,,
2020-06-12 02:00:00,94,42,0.40,3,20,3,565,,112,0,79,224,
2020-06-12 14:00:00,94,23,0.40,7.1,28,3,14,,0,0,221,64,
2020-06-13 02:00:00,95,27,0.50,4,17,3.2,13,0,68,,163,,
2020-06-13 14:00:00,0,23,2,3,17,3.2,15,,50,0,0,,
2020-06-14 02:00:00,91,19,3.5,3,25,3.2,12,,68,0,,,
2020-06-14 14:00:00,92,23,0.40,2.7,16,3,12,,0,0,182,,
2020-06-15 02:00:00,92,22,0.40,3,34,3,14,0,140,0,,,
2020-06-15 14:00:00,94,13,0.40,2.7,14,3.2,14,,48,1636,26,,
2020-06-16 02:00:00,94,22,0.40,3,21,3.2,12,,99,,26,17,
2020-06-16 14:00:00,0,12,0.40,2.7,18,3.4,12,0,48,,67,,
2020-06-17 02:00:00,96,23,0.40,3,18,3.2,14,,68,0,,15,
2020-06-17 14:00:00,95,36,0.40,2.7,21,3,13,,0,786,217,,
2020-06-18 02:00:00,0,42,0.40,3.5,17,3,12,,67,1198,,0,
2020-06-18 14:00:00,0,18,5.1,2.7,0.50,3.2,39,0,0,855,31,,
2020-06-19 02:00:00,95,24,0.40,3,34,3,13,,68,0,,,
2020-06-19 14:00:00,91,18,0.40,2.7,16,3.9,14,,48,861,,,
2020-06-20 02:00:00,94,46,0.40,6.4,21,3,12,,110,0,2167,31,
2020-06-20 14:00:00,94,34,0.40,2.7,12,4.1,12,,0,,25,,
2020-06-21 02:00:00,0,22,0.50,3,18,3,14,,68,0,,,
2020-06-21 14:00:00,94,21,0.40,3.2,13,3,12,,0,2675,31,,
2020-06-22 02:00:00,94,24,0.80,3.7,21,4,12,,113,0,,,
2020-06-22 14:00:00,0,23,17,2.7,13,3.2,12,,48,0,,,
2020-06-23 02:00:00,94,22,0.50,3,21,3,12,,68,,31,0,
2020-06-23 14:00:00,11,23,0.40,2.7,18,3.2,14,0,39,790,,,
2020-06-24 02:00:00,96,22,0.40,0.40,17,3,13,,68,,26,,
2020-06-24 14:00:00,95,22,0.80,2.7,18,3,13,,49,,,,
2020-06-25 02:00:00,90,21,0.40,3,20,3,12,,71,0,2121,0,
2020-06-25 14:00:00,0,18,0.80,2.7,18,3.9,12,,50,,61,,
2020-06-26 02:00:00,0,22,0.40,3.5,18,3,14,,67,,,,
