stringtime,epochtime,datetime,Toffice_wall,Tcorridor,Theater,Toffice_reference,office_CO2_concentration,corridor_CO2_concentration,zetaW7,zetaW9,window_opening,door_opening,power_block_east,power_block_west,power_stephane,power_khadija,power_audrey,power_stagiaire,humidity,Tyanis,occupancy,detected_motions,Tout,humidity_outdoor,nebulosity,illuminance_old,illuminance_new,dT_heat,power_heater,heating_level,total_electric_power,phi_sun,total_power,total_power_nosun,actual_occupation,acoustic_pressure_dB
19/01/2016 03:00:00,1453168800000,2016-01-19 03:00:00,18.404983944444446,15.779732622222223,27.54431804444444,17.065259644444446,430.0,404.25938055555554,0.0,0.0,0.0,0.0,22.0,356.3168086111111,0.0,0.0,0.0,0.0,27.9688475,15.779732622222223,0,0,-0.42,88.0,98.0,0.0,0.0,10.479058399999996,523.9529199999998,0.23286796444444438,378.3168086111111,0.0,378.3168086111111,378.3168086111111,0.0,0.0
19/01/2016 04:00:00,1453172400000,2016-01-19 04:00:00,18.510162,15.84,27.544317688888885,17.156938916666668,421.72526111111114,393.54343611111113,0.0,0.0,0.0,0.0,22.0,357.62701805555554,0.0,0.0,0.0,0.0,27.975075,15.84,0,0,-0.42,88.0,97.0,0.0,0.0,10.387378772222217,519.3689386111108,0.23083063938271592,379.62701805555554,0.0,379.62701805555554,379.62701805555554,0.0,0.0
19/01/2016 05:00:00,1453176000000,2016-01-19 05:00:00,18.78789555555555,15.999510488888887,27.457739233333335,17.372501377777777,404.0250555555556,390.3735638888889,0.0,0.0,0.0,0.0,22.0,359.2931536111111,0.0,0.0,0.0,0.0,27.63235138888889,15.999510488888887,0,0,-0.35,90.0,99.0,0.0,0.0,10.085237855555558,504.2618927777779,0.22411639679012352,381.2931536111111,0.0,381.2931536111111,381.2931536111111,0.0,0.0
19/01/2016 06:00:00,1453179600000,2016-01-19 06:00:00,18.994695611111112,16.160290711111113,30.026840350000004,17.561510088888888,407.41463055555556,413.2700861111111,0.0,0.0,0.0,0.024872222222222223,22.0,359.1658925,0.0,0.0,0.0,0.0,28.224329444444443,16.160290711111113,0,1,0.1,90.0,98.0,0.0,0.0,12.465330261111117,623.2665130555558,0.2770073391358026,381.1658925,0.0,381.1658925,381.1658925,0.0,0.0
19/01/2016 07:00:00,1453183200000,2016-01-19 07:00:00,18.87943183333333,16.184457733333335,30.707419955555558,17.76191681111111,420.6600361111111,426.66603888888886,0.0,0.0,0.0,0.0,22.0,359.42750277777776,0.0,0.0,0.0,0.0,29.643191944444446,16.184457733333335,0,0,0.41,90.0,99.0,0.0,0.0,12.945503144444448,647.2751572222224,0.2876778476543211,381.42750277777776,0.0,381.42750277777776,381.42750277777776,0.0,0.0
19/01/2016 08:00:00,1453186800000,2016-01-19 08:00:00,19.017449055555552,16.16,30.76264558333333,17.81237608333333,452.14025555555554,473.3285055555556,0.0,0.0,0.0,0.0,22.0,362.9895927777778,0.0,0.0,0.0,0.0,29.26468472222222,16.16,0,0,0.59,92.0,100.0,2.452568466666667,2.8445277777777775,12.950269500000001,647.5134750000001,0.2877837666666667,384.9895927777778,0.0,384.9895927777778,384.9895927777778,0.0,0.0
19/01/2016 09:00:00,1453190400000,2016-01-19 09:00:00,19.19018605555555,16.206484444444445,30.75,17.928608955555557,488.6071166666667,531.7518583333333,0.0,0.0,0.0,0.0,22.0,365.16698527777777,0.0,0.0,0.0,0.0,29.17745138888889,16.206484444444445,0,0,0.7,92.0,99.0,39.35087693333334,22.05273777777778,12.821391044444443,641.0695522222221,0.2849198009876543,387.16698527777777,14.490499508846273,401.657484786624,387.16698527777777,0.0,0.0
19/01/2016 10:00:00,1453194000000,2016-01-19 10:00:00,19.541178555555554,16.4911648,31.172093116666666,18.347466547222226,651.1823166666667,795.4671694444445,0.0,0.0,0.0,0.0,22.0,366.23016472222224,0.0,0.0,0.0,0.0,30.307125555555555,16.4911648,0,0,0.93,89.0,99.0,221.0549377666667,129.3122688888889,12.82462656944444,641.231328472222,0.2849917015432098,388.23016472222224,59.452096242507054,447.68226096472927,388.23016472222224,0.0,0.0
19/01/2016 11:00:00,1453197600000,2016-01-19 11:00:00,19.778881166666665,16.57954311111111,31.257995291666667,18.522305708333334,763.7280694444445,827.7599833333334,0.0,0.0,0.0,0.0,22.0,364.65887055555555,0.0,0.0,0.0,0.0,30.993770277777777,16.57954311111111,0,0,1.9,82.0,99.0,130.90069019999999,81.25852777777777,12.735689583333333,636.7844791666666,0.28301532407407404,386.65887055555555,116.46149721775582,503.1203677733114,386.65887055555555,0.0,0.0
19/01/2016 12:00:00,1453201200000,2016-01-19 12:00:00,20.543672999999995,17.080909066666667,31.858257927777778,19.371721858333327,917.2857805555556,1029.4963388888889,0.0,0.0,0.0,0.0,22.0,365.85421916666667,0.0,0.0,0.0,0.0,30.993767777777776,17.080909066666667,0,0,2.62,79.0,99.0,376.5943382666667,227.9302088888889,12.486536069444451,624.3268034722225,0.2774785793209878,387.85421916666667,156.34986637072615,544.2040855373928,387.85421916666667,0.0,0.0
19/01/2016 13:00:00,1453204800000,2016-01-19 13:00:00,21.078178444444447,17.545792622222226,31.916551413888886,19.710938666666667,911.8822777777777,996.3043222222223,0.0,0.0,0.0,0.0,22.0,363.9788213888889,0.0,0.0,0.0,0.0,30.472021666666667,17.545792622222226,0,0,3.81,73.0,99.0,144.36561046666665,84.69075777777778,12.205612747222219,610.280637361111,0.2712358388271604,385.9788213888889,166.12103282018953,552.0998542090784,385.9788213888889,0.0,0.0
19/01/2016 14:00:00,1453208400000,2016-01-19 14:00:00,21.24237700000001,17.608863155555557,31.688144522222224,19.72881761111111,908.1247527777778,934.9547055555555,0.0,0.0,0.0,0.0,22.0,369.5563961111111,0.0,0.0,0.0,0.0,30.0,17.608863155555557,0,0,3.73,67.0,100.0,53.18423366666667,31.546411111111112,11.959326911111113,597.9663455555557,0.2657628202469136,391.5563961111111,130.5184722938295,522.0748684049406,391.5563961111111,0.0,0.0
19/01/2016 15:00:00,1453212000000,2016-01-19 15:00:00,21.40982216666666,17.71343111111111,31.749588875000004,19.873186133333334,893.148175,1030.8759166666666,0.0,0.0,0.0,0.0,22.0,365.6003463888889,0.0,0.0,0.0,0.0,30.18490388888889,17.71343111111111,0,0,4.5,67.0,100.0,43.123226800000005,24.199255555555553,11.87640274166667,593.8201370833335,0.263920060925926,387.6003463888889,85.0339727673496,472.6343191562385,387.6003463888889,0.0,0.0
